Run	Project
SRR1045151	PRJNA221620
SRR1045152	PRJNA221620
SRR1045153	PRJNA221620
SRR1045154	PRJNA221620
SRR1045155	PRJNA221620
SRR1045157	PRJNA221620
SRR11365239	PRJNA613951
SRR11365240	PRJNA613951
SRR11454606	PRJNA616446
SRR11454607	PRJNA616446
SRR11454608	PRJNA616446
SRR11454609	PRJNA616446
SRR11454610	PRJNA616446
SRR11454611	PRJNA616446
SRR11454612	PRJNA616446
SRR11454613	PRJNA616446
SRR11454614	PRJNA616446
SRR11454615	PRJNA616446
SRR1210120	PRJNA220986
SRR1210160	PRJNA220986
SRR1210161	PRJNA220986
SRR1210162	PRJNA220986
SRR1210163	PRJNA220986
SRR1210164	PRJNA220986
SRR1210165	PRJNA220986
SRR1210166	PRJNA220986
SRR1210167	PRJNA220986
SRR1210168	PRJNA220986
SRR1210169	PRJNA220986
SRR1210170	PRJNA220986
SRR1210171	PRJNA220986
SRR1210172	PRJNA220986
SRR1210173	PRJNA220986
SRR1210174	PRJNA220986
SRR1210175	PRJNA220986
SRR1210176	PRJNA220986
SRR1210177	PRJNA220986
SRR1210178	PRJNA220986
SRR1210179	PRJNA220986
SRR1210180	PRJNA220986
SRR1210181	PRJNA220986
SRR1210182	PRJNA220986
SRR1210183	PRJNA220986
SRR1210184	PRJNA220986
SRR1210185	PRJNA220986
SRR1210186	PRJNA220986
SRR1210187	PRJNA220986
SRR1210188	PRJNA220986
SRR1210189	PRJNA220986
SRR1210190	PRJNA220986
SRR1210191	PRJNA220986
SRR1210192	PRJNA220986
SRR1210193	PRJNA220986
SRR1210194	PRJNA220986
SRR1210195	PRJNA220986
SRR1210196	PRJNA220986
SRR1210197	PRJNA220986
SRR1210198	PRJNA220986
SRR1210199	PRJNA220986
SRR1210200	PRJNA220986
SRR1210201	PRJNA220986
SRR1210202	PRJNA220986
SRR1210203	PRJNA220986
SRR1210204	PRJNA220986
SRR1210205	PRJNA220986
SRR1210206	PRJNA220986
SRR1210207	PRJNA220986
SRR1210208	PRJNA220986
SRR1210209	PRJNA220986
SRR1210210	PRJNA220986
SRR1210211	PRJNA220986
SRR1210212	PRJNA220986
SRR1210213	PRJNA220986
SRR1210214	PRJNA220986
SRR1210215	PRJNA220986
SRR1210216	PRJNA220986
SRR1210217	PRJNA220986
SRR1210218	PRJNA220986
SRR1210219	PRJNA220986
SRR1210220	PRJNA220986
SRR1210221	PRJNA220986
SRR1210222	PRJNA220986
SRR1210223	PRJNA220986
SRR1210224	PRJNA220986
SRR1210225	PRJNA220986
SRR1210226	PRJNA220986
SRR1210227	PRJNA220986
SRR1210228	PRJNA220986
SRR1210229	PRJNA220986
SRR1210230	PRJNA220986
SRR1210231	PRJNA220986
SRR1210232	PRJNA220986
SRR1210233	PRJNA220986
SRR1210234	PRJNA220986
SRR1210235	PRJNA220986
SRR1210236	PRJNA220986
SRR1210237	PRJNA220986
SRR1210238	PRJNA220986
SRR1534916	PRJNA221620
SRR1534917	PRJNA221620
SRR5164061	PRJNA354235
